,oficialista,opositor
000,14,6
01,1,0
029,1,0
05,0,2
050,0,2
10,23,21
100,3,8
1000,1,0
1050,0,1
109,1,0
10k,0,1
11,11,17
111,2,0
114,1,0
115,1,0
1168,1,0
12,24,16
120,0,3
1200,0,2
124,0,2
125,5,3
13,9,8
130,0,1
131,1,0
1311,0,1
132,0,2
13n,2,0
14,8,6
1443153,1,0
148,1,0
149,0,1
15,13,15
150,0,3
1535,0,1
1536,0,2
156,1,0
158,2,0
1580,0,2
1589,0,2
159,1,0
16,20,3
160,0,1
1600,1,1
1602,0,1
17,8,4
1707,0,1
1744,0,1
175,0,1
177,0,1
18,11,5
180,0,5
1812,1,0
1814,0,1
1821,1,0
1833,0,1
1867,1,0
1888,0,1
19,7,4
1910,0,1
1911,0,1
1912,1,0
1913,0,1
1916,0,1
1917,0,1
1918,1,0
192,1,0
1920,0,2
1921,0,1
1927,1,0
1930,0,1
1933,1,0
1934,1,0
1943,0,1
1944,0,1
1945,0,1
1947,2,0
195,1,0
1953,1,0
1954,0,1
1955,10,2
1956,2,0
1959,1,0
1960,0,1
1962,2,0
1963,3,0
1964,0,1
1965,3,0
1966,5,0
1968,1,0
1969,1,1
1970,5,0
1971,1,1
1972,2,0
1973,34,0
1974,12,0
1975,4,1
1976,15,2
1977,3,0
1978,4,0
1979,2,0
1980,3,0
1981,3,0
1982,5,0
1983,9,7
1984,3,0
1987,3,2
1988,2,0
1989,4,2
1990,1,0
1991,9,0
1992,1,0
1994,1,1
1995,4,0
1996,2,0
1997,5,0
1998,1,0
1999,2,4
1º,0,1
20,19,27
200,2,8
2000,2,1
2001,26,7
2002,5,5
2003,38,13
2004,6,2
2005,8,9
2006,12,8
2007,12,7
2008,28,7
2009,13,3
2010,15,7
2011,6,5
2012,5,1
2013,5,8
2014,5,10
2015,4,22
2016,0,2
2019,0,4
204,0,1
206,0,4
2065,1,0
21,8,3
22,14,1
223,1,0
23,4,7
24,7,1
25,28,21
250,0,1
26,7,6
269,2,0
27,14,2
28,8,3
29,5,0
30,15,21
300,9,6
301,2,0
309,1,0
31,2,1
32,2,0
320,0,1
33,2,4
330,0,1
34,4,0
35,1,4
350,1,4
36,1,0
363,0,1
365tv,0,1
37,1,0
38,1,2
380,1,0
39,1,0
398,1,0
40,8,11
400,2,4
41,2,1
410,0,1
411,0,1
412,0,1
413,0,1
4161,1,0
419,2,0
42,0,1
43,1,3
449,0,1
45,4,0
450,0,1
46,1,0
464,1,0
476,1,0
48,1,2
49,7,2
50,8,6
500,2,6
5000,0,2
51,1,2
510,1,0
522,2,0
53,2,1
537,1,0
54,1,2
55,5,2
56,1,1
5775,0,1
58,4,0
59,2,1
60,7,7
600,2,3
605,1,0
62,2,0
623,0,1
630,1,0
64,2,0
65,2,4
650,0,2
66,2,1
67,1,0
678,0,6
69,1,0
70,18,1
700,1,3
71,1,0
72,1,0
727,1,0
73,15,0
745,0,2
75,2,0
76,3,3
77,2,0
775,1,0
777,0,1
78,1,0
79,3,0
80,2,3
800,0,2
8000,1,0
85,0,1
85000,0,1
854,0,2
867,1,0
89,4,0
90,18,8
900,1,2
907,1,0
91,3,0
92,0,4
93,1,4
94,0,2
96,1,0
97,1,2
